step,iteration,mean_reward,best_reward,mean_loss,loss_objective,loss_critic,loss_entropy,fps,elapsed_s
6016,1,-13.664888381958008,-13.664888381958008,1.0345046763618788,0.001331708342129989,1.045690195262432,-0.012517228551829854,600.1206538495192,10.024650812149048
12032,2,-11.944284439086914,-11.944284439086914,0.8374317809939384,0.0011146378608614782,0.8489603976408641,-0.012643252965062857,604.2823567294939,19.911221742630005
18048,3,-12.094904899597168,-11.944284439086914,0.7662372529506684,0.0012166079754760103,0.777466847995917,-0.012446202392069002,606.329868643798,29.76597547531128
24064,4,-12.576231956481934,-11.944284439086914,0.6560829505324364,7.293686149581665e-05,0.6681790217757225,-0.01216900886502117,614.717290600205,39.14645051956177
30080,5,-12.123248100280762,-11.944284439086914,0.4967536879082521,1.9305403519360533e-05,0.5089853629469872,-0.012250980432145297,602.7739472385135,49.902621269226074
36096,6,-11.027018547058105,-11.027018547058105,0.6371268784006436,-0.0002514668739762212,0.6495321745673815,-0.012153830107611915,582.0713689954949,62.01301407814026
42112,7,-11.531572341918945,-11.027018547058105,0.7067565376559893,0.00037516643836715824,0.7185626159111659,-0.012181244503396253,580.5889168501838,72.53324818611145
48128,8,-7.908071994781494,-7.908071994781494,0.5302943974733353,-0.00021429475654844617,0.5425631475945314,-0.012054451166962583,581.76986467774,82.72687005996704
54144,9,-10.242085456848145,-7.908071994781494,0.5618305372695128,-3.76798775041598e-05,0.5738314134379228,-0.01196319495793432,579.8639943188666,93.373619556427
60160,10,-5.406717300415039,-5.406717300415039,0.4261001765727997,-0.00040167578502991466,0.4383268192410469,-0.011824966206525763,582.5460013904217,103.27081441879272
66176,11,-6.160179138183594,-5.406717300415039,0.4100258817275365,-0.0012428323576540556,0.42288557688395184,-0.011616865235070387,582.7480167591724,113.55851602554321
72192,12,-6.3642191886901855,-5.406717300415039,0.3564785656829675,-0.00018869136469477817,0.3684068920711676,-0.0117396338765199,582.3528547833317,123.96607899665833
78208,13,-3.7843174934387207,-3.7843174934387207,0.32068878300487996,-0.0009958985825146056,0.33331829321881135,-0.011633612510437766,581.975875942963,134.38357710838318
