step,iteration,mean_reward,best_reward,mean_loss,loss_objective,loss_critic,loss_entropy,fps,elapsed_s
6016,1,108.85733795166016,108.85733795166016,8.843191067377726,0.0010244392888739166,8.854701622327168,-0.012534937541931867,333.1701108024302,18.05684185028076
12032,2,132.8583984375,132.8583984375,9.836400187015533,8.539350091734122e-05,9.848711967468262,-0.01239717408704261,403.3978983621799,29.826630353927612
18048,3,123.14396667480469,132.8583984375,10.09675060113271,0.0006787539902311994,10.108369131882986,-0.012297345930710435,446.01281571292856,40.46520495414734
24064,4,190.1418914794922,190.1418914794922,10.233504350980123,-0.0005562194082805227,10.246127645174662,-0.012067034553426007,478.912094068584,50.24721717834473
30080,5,186.58139038085938,190.1418914794922,10.85695168574651,9.293967808990574e-05,10.868834431966146,-0.011975731196192404,504.8604136373811,59.580825090408325
36096,6,215.53448486328125,215.53448486328125,9.989428516228994,0.00098540480197092,10.000199135144552,-0.011755993550953766,515.3246072334499,70.045170545578
42112,7,203.1816864013672,215.53448486328125,8.81701075633367,0.0003559366136517639,8.828194415569305,-0.011539595201611519,525.9668361321188,80.06588459014893
48128,8,223.39443969726562,223.39443969726562,10.343950080871583,0.0002523322819323659,10.355027397473654,-0.01132957199588418,537.9105858664853,89.47211909294128
54144,9,261.57171630859375,261.57171630859375,9.216883714993795,0.0012975794559056842,9.226690673828125,-0.01110456494304041,546.728680861474,99.0326681137085
60160,10,271.27056884765625,271.27056884765625,9.004195892810822,0.000938044429697508,9.014045496781668,-0.010787610275050005,554.1833705694464,108.55612635612488
66176,11,229.6641387939453,271.27056884765625,10.781021650632223,0.0009693466735762805,10.79074896176656,-0.01069670196933051,555.8440230751011,119.05498170852661
72192,12,268.9395446777344,271.27056884765625,9.97087032397588,0.0009997978077574076,9.9804878115654,-0.010617324865112703,557.8843922523316,129.40315413475037
78208,13,236.2352752685547,271.27056884765625,11.356449723243713,0.0002479043613610769,11.36689415772756,-0.010692358311886589,560.9310275506772,139.42534136772156
84224,14,254.97613525390625,271.27056884765625,11.109823099772136,0.00160628960777179,11.118861997127533,-0.0106452407160153,563.9176188207341,149.35514903068542
90240,15,237.1405029296875,271.27056884765625,11.949861590067545,0.0005406161780047122,11.959905640284221,-0.010584692245659728,565.6089601185662,159.5448558330536
96256,16,264.6712646484375,271.27056884765625,10.035377295811971,-8.101957395168687e-05,10.04543091058731,-0.009972604092520971,569.3208297458019,169.07162880897522
102272,17,240.00811767578125,271.27056884765625,11.377558990319569,0.00044768533732836844,11.387117516994476,-0.010006184619851411,570.9544547820268,179.12462043762207
108288,18,273.94134521484375,273.94134521484375,9.679812395572663,-0.0002004524776268446,9.690437885125478,-0.010425085007833937,572.5743695390019,189.12477707862854
114304,19,252.0520477294922,273.94134521484375,12.374165924390157,7.314399621656253e-05,12.384784317016601,-0.010691534386326869,573.5345815408832,199.29748558998108
120320,20,273.3673095703125,273.94134521484375,10.154258879025777,0.00011336724475080976,10.164857137203217,-0.010711624030955135,574.7048439952171,209.35964131355286
126336,21,247.2869873046875,273.94134521484375,11.459599343935649,3.879749359071427e-05,11.470016654332479,-0.010456051894774039,575.420680641904,219.55415272712708
132352,22,254.63072204589844,273.94134521484375,11.634923529624938,-0.0006945796001875578,11.645707805951437,-0.010089691930140058,576.153447435239,229.71658086776733
138368,23,225.14059448242188,273.94134521484375,13.065546870231628,-0.0008252101831110655,13.076716502507528,-0.010344396236663063,576.7681704472578,239.90228152275085
144384,24,209.2328643798828,273.94134521484375,13.05256655216217,-0.0003207327356629097,13.0633100827535,-0.010422720954132577,577.3423238107713,250.08386540412903
150400,25,219.98985290527344,273.94134521484375,11.827323126792908,-0.00044155986880882735,11.838118195533752,-0.01035348082271715,578.9444727140558,259.7831175327301
156416,26,244.26516723632812,273.94134521484375,12.297438859939575,-0.00011066738525712753,12.30777993996938,-0.01023042160862436,579.8283908546352,269.7625753879547
162432,27,242.8765411376953,273.94134521484375,12.363556655248006,0.00011110009394664407,12.373723689715067,-0.0102781176334247,580.3217181990423,279.89991569519043
168448,28,227.39956665039062,273.94134521484375,11.779149174690247,-2.164742022043494e-05,11.78911907672882,-0.009948266445038219,580.9878065397886,289.9337956905365
174464,29,230.4665069580078,273.94134521484375,12.674819715817769,-0.000773806833858955,12.685788242022197,-0.01019467959801356,581.7041860315918,299.91876316070557
180480,30,226.7029266357422,273.94134521484375,11.543085638682047,-0.0004909759206823054,11.553678250312805,-0.010101602288583915,582.111533350999,310.04367661476135
186496,31,231.63381958007812,273.94134521484375,11.494703833262125,-0.0006299537010013919,11.505821625391642,-0.010487906720178823,582.0135446793149,320.4324052333832
192512,32,185.6555938720703,273.94134521484375,14.174368890126546,-0.0007522887022409552,14.185291663805645,-0.010170497217526038,582.2741134693559,330.6209146976471
198528,33,225.97052001953125,273.94134521484375,11.722146876653035,-0.00033906014318117647,11.732986569404602,-0.010500690736807882,581.9140696071444,341.1637737751007
204544,34,199.6692352294922,273.94134521484375,14.037733046213786,-0.00010313669455939886,14.048605545361836,-0.010769376181997359,582.3683223894128,351.2278950214386
210560,35,212.93356323242188,273.94134521484375,11.880515344937642,-0.00022775997704229666,11.89119214216868,-0.010449023032560945,583.2091797804322,361.0368411540985
216576,36,188.72914123535156,273.94134521484375,12.824667421976725,-0.0007189597632630829,12.835667602221172,-0.010281202887805799,585.5695657973563,369.8552873134613
222592,37,219.98655700683594,273.94134521484375,10.796842805544536,-0.0009106056915803092,10.807890232404073,-0.010136755152295033,587.8768883216921,378.6370997428894
228608,38,206.2669219970703,273.94134521484375,10.997046264012655,-0.001955659115545886,11.009153993924459,-0.010152044837983947,589.3887789873231,387.8730103969574
234624,39,229.00546264648438,273.94134521484375,11.279726807276408,-0.0006506959738781015,11.290527725219727,-0.010150210148033996,589.6664152592205,397.8927643299103
240640,40,233.58245849609375,273.94134521484375,11.068052752812703,-0.0008975704742378113,11.079379638036093,-0.010429343790747225,589.3929921763431,408.28446078300476
246656,41,237.2826690673828,273.94134521484375,12.04173493385315,-0.0012310300548601346,12.053338225682577,-0.01037229342230906,589.3010227728497,418.55688428878784
252672,42,224.3380126953125,273.94134521484375,12.749745504061382,-0.0015748514381412003,12.761943984031678,-0.010623636345068613,589.2746780597552,428.78475761413574
258688,43,189.66932678222656,273.94134521484375,11.366154996554057,-0.0018608454912351154,11.378608616193135,-0.010592824049914877,589.557604196691,438.78324723243713
264704,44,178.19842529296875,273.94134521484375,13.182573175430297,-0.0013098453983386863,13.194615372021993,-0.010732314052681128,589.5764925626166,448.97312450408936
270720,45,208.3682403564453,273.94134521484375,10.47322483062744,-0.0005692771563341618,10.48463905652364,-0.010844907963958879,591.0158160950156,458.05880761146545
276736,46,212.61773681640625,273.94134521484375,12.558522160847982,-0.0011482396749228833,12.570422768592834,-0.010752369339267412,592.6763339314028,466.92601704597473
282752,47,222.69290161132812,273.94134521484375,10.414270397027334,-0.0005009143092441566,10.425507056713105,-0.010735736950300634,593.8454198529826,476.1373760700226
288768,48,187.44879150390625,273.94134521484375,11.85250232219696,-0.001200927722434623,11.864344135920208,-0.010640876763500274,593.7008433270513,486.3863732814789
294784,49,234.6725311279297,273.94134521484375,9.282754751046498,-0.0005618695880868163,9.293776452541351,-0.0104597931727767,594.2487136978218,496.0616543292999
